Debiteurnummer;Naam1;Naam2;Zoeknaam;Adres;Postcode;Plaats;Land;Contact;Telefoon;Mobiel;Email;Email cc;Email factuur;Email factuur cc;BTW nummer
00001152;MECHANISATIEBEDRIJF KURSTJENS;;KURSTJEN;ZANDSTRAAT 56;6065 AH ;MONTFORT;NL      ;JACK KURSTJES;0475-543513;;jackkurstjens@home.nl                                       ;;;;
00001153;KERSTENS VOETEN B.V.;;KERSTENS;BREDASEWEG 255;4705 RN ;ROOSENDAAL;NL      ;DHR.A.VERSCHUREN;0165-534222;;info@kerstensvoeten.nl                                      ;;;;
00001154;GEMS B.V.;;GEMS B.V;STEENPAD 23;4997 SG ;WILLEMSTAD;NL      ;ERICA VERMEIDEN;0168-462549;;info@gemstec.nl                                             ;;;;M010411 
00001155;ERNST WAGENER HYDRAULIKTEILE;;WAGENER ;AM WALZWERK 4;D-45527 ;HATTINGEN;DE      ;;0049-2324686260;;export@wagener-gmbh.com                                     ;;Buchhaltung@wagener-gmbh.com;;
00001156;HAMMER TECHNIEK & DETACHERING;;HAMMER T;KRYPTONSTRAAT 9;7463 PB ;RIJSSEN ;NL      ;BARND HAMMER;0548-512770;;;;;;
00001157;M.P.M. HENGELO;;MPM     ;GRANAATSTRAAT 66;7554 TR ;HENGELO ;NL      ;DHR. M. POT;;;;;;;
00001158;CARGOTEC NETHERLANDS BV;;CARGOTEC;;        ;        ;NL      ;;0522-253831;;info@hiab.nl                                                ;;;;
00001159;ALBERT VAN STRATUM;REPARATIE EN ONDERHOUD;STRATUM ;HAZENWEG 5;5757 AE ;LIESSEL ;NL      ;;0493-343104;06-13350282;rovstratum@hetnet.nl                                        ;;;;
00001160;VAN DER ZEE JOURE;;ZEE     ;DE WIELEN 4;8502 TK ;JOURE   ;NL      ;;0513-417029;;info@vanderzeejoure.com                                     ;;Crediteuren@vanderzeejoure.com;;
00001161;KUYPERS ALLROUND SERVICE;;KUYPERS ;MERLENBERGSEWEG 29;5754 AW ;DEURNE  ;NL      ;MARK KUYPERS;06-18347787;06-18347787;kuijpersallroundservice@hotmail.com                         ;;;;
00001162;UITTENBOGERD  HEUKELUM B.V.;;UITTENBO;KERKWEG 1;4161 JX ;HEUKELUM;NL      ;ERIK BROERE;0345-612731;;erik@uittenbogerd.nl                                        ;;Uhfactuur@uittenbogerd.nl;;
00001163;ATELIER DU NORD NV;;ATELIER ;DREEF TER PANNE 8;8000    ;BRUGGE  ;BE      ;MIEKE PANNIER;0032-50332170;;mieke.pannier@atelierdunord.be                              ;;;;
00001164;AGRI-JAGER IMPORT;;AGRI-JAG;DREEF 3A;7741 PD ;COEVORDEN;NL      ;HENK JAGER;0524-525835;06-13135566;info@agri-jagerimport.nl                                    ;;;;
00001165;KIMMANN HYDRAULIEK SERVICE;;KIMMAN H;ACHTERWEG 1;7874 TL ;ODOORNERVEEN;NL      ;HANS KIMMAN;0591-514455;06-51002165;info@kimmann.nl                                             ;;;;
00001166;MODULEN & ENGINEERING MENZING;;MENZING ;HANDELSWEG 36B;7482 GW ;HAAKSBERGEN;NL      ;;053-3031200;;d.oppelt@menzing.nl                                         ;;invoice@menzing.nl;;
00001167;VAN DE CALSEYDE;;CALSEYDE;AFRIKALAAN 289;B-9000  ;GENT    ;BE      ;DAVID JANZING, NIKO BUTSRAEN;0032-92555520;;david@vandecalseyde.be                                      ;hyd@vandecalseyde.com;;;
00001168;MTS EIKELBOOM;;EIKELBOO;MARLEDIJK 1A;8198 KP ;MARLE;NL      ;T.a.v. Han Eikelboom;;06-20353039;melkveebedrijfeikelboom@gmail.com                           ;;Factureneikelboom@gmail.com;;
00001169;P.J.G.H. POSTHUMUS VOF;;POSTHUMU;KATHAGE 22;7345 DN ;WENUM-WIESEL;NL      ;;055-5789273;06-51783611;;;;;
00001170;KVERNELAND GROUP;KERTEMINDE AS;KVERNELA;TAARUPSTRANDVEJ 25;5300    ;KERTEMINDE;DK      ;HERR S. GOHL;0049-7731788609;00491727412843;stefan.gohl@kvernelandgroup.com                             ;;Kerteminde.faktura@kvernelandgroup.com;;
00001171;BERENPAS AEROSPACE BV;;BERENPAS;KLAVERMALEN 25A;7472 DD ;GOOR    ;NL      ;;0547-262890;;;;;;
00001172;CELECTRIC BV;                        ;CELECTRI;NOBELSTRAAT 34;3846 CG ;HARDERWIJK                    ;NL      ;;0341-467700;0653946435;g.kolling@celectric.nl                                      ;;;;
00001173;KORT MECHANISATIE BV;;KORT MEC;ORANJEKANAAL NOORDZIJDE 26;9433 TH ;SWIGGELTE;NL      ;MARCEL VD WIJDE;0593-346251;;jank@kort.nl                                                ;;;;
00001174;VOETS HOOFDDORP;;VOETS HO;RIJNLANDERWEG 763;2132 NK ;HOOFDDORP;NL      ;HENK RADEMAKER;020-4541000;;hoofddorp@voets.nl                                          ;;;;
00001175;PLADDET BV;;PLADDET ;PAULINAWEG 6-10;4521 RE ;BIERVLIET;NL      ;BRAM DE FEIJTER;0115-481351;;info@pladdet.nl                                             ;;Invoice@pladdet.nl;;
00001176;HYDRAU CONSTRUKTIE VOF;;HYDRAU C;WATERPAS 94;2495 AT ;DEN HAAG;NL      ;RICK VAN DER DRIFT;070-3902061;;info@hydrau.nl                                              ;;Facturen@hydrau.nl;;
00001177;EUROGRAB;;EUROGRAB;KOBALTSTRAAT 21;1411 AM ;NAARDEN ;NL      ;MARK OOSTWOUDER;035-6953680;06-53536381;oostwouder@eurograb.nl                                      ;;Info@eurograb.nl;;
00001178;GOOSKENS HOUT;;GOOSKENS;MIDDENWEG 51;4782 PM ;MOERDIJK;NL      ;A. VAN DE PAR;0168-387038;;c.v.dam@gooskens.nl                                         ;;;;
00001179;HABETS HYDRAULIEK BV;;HABETS  ;NEWTONWEG 20;6101 WX ;ECHT    ;NL      ;T.a.v. B. Habets;0475-466234;;info@habetshydrauliek.nl                                    ;;;;
00001180;VECON MACHINES;;VECON MA;ZONNEMARE 41;4571 CW ;AXEL    ;NL      ;T.a.v. Leendert Verhelst;0115-471665;;mail@veconmachines.nl                                       ;;Administratie@veconmachines.nl;;
00001181;VMT MOVER SYSTEMS;;VMT MOVE;REMMERDEN 110;3911 TZ ;RHENEN  ;NL      ;B. VAN MILTENBURG;0317-619479;06-21547537;miltenburg@rangeerspecialist.nl                             ;miltenburg@rangeerspecialist.nl;Administratie@rangeerspecialist.nl;;
00001182;MARITIME-PERFORMANCES;;MARITIME;TRONDHEIM 20;2993 LE ;BARENDRECHT;NL      ;HANS VAN OERLE;0180-555270;06-45456435;hansvanoerle@maritime-performances.nl                       ;karinjacobs@maritime-performances.nl;;;
00001183;DUNNEWIND;HYDRAULIEK SERVICE;DUNNEWIN;WETH.WASSEBALIESTRAAT 11;7951 SN ;STAPHORST;NL      ;ARJAN DUNNEWIND;;06-20625256;info@hydrauliekdunnewind.nl                                 ;;Administratie@hydrauliekdunnewind.nl;;
00001184;MACHINEFABRIEK OTTO;SCHOUTEN B.V.;SCHOUTEN;BEDRIJVENSTRAAT 6;4283 JH ;GIESSEN ;NL      ;DHR. C. VAN HELDEN;0183-442041;;info@ottoschouten.nl                                        ;;;;
00001185;BROVECO MACHINES B.V.;;BROVECO ;INDUSTRIEWEG;4283 GZ ;GIESSEN ;NL      ;JAN BROERE;0183-447272;;info@broveco.nl                                             ;;;;
00001186;MEROC;;MEROC   ;DE HENNEPE 88;4003 AG ;TIEL    ;NL      ;;0344-618332;;;;;;
00001187;MDE MACHINEBOUW B.V.;;MDE MACH;WIJENBURGSESTRAAT 6;4054 JE ;ECHTELD ;NL      ;M.A.J. VAN DIJK;0344-641447;;info@mdemachinebouw.nl                                      ;;;;
00001188;REESINK PRODUCTION BV;;REESINK ;MOLENENK 4a, MAGAZIJN MW;7255 AX ;HENGELO (GLD);NL      ;T.a.v. W. van Gessel;088-1342900;;purchase@reesinkproduction.nl                               ;;invoices@reesinkproduction.nl;;
00001189;AFMECH SA;;AFMECH S;RUE DES CYCLISTES FRONTIERE 2;BE-4600 ;VISE    ;BE      ;HANS STRUYE;0032-43790537;;hans.struye@afmech.com                                      ;;;;
00001190;HYDRAUVISION B.V.;;HYDRAUVI;JADE 410;3316 LJ ;DORDRECHT;NL      ;Nico Bron 0117-407200;078-6559593;;nb@hydrauvision.com                                         ;;finance.rijnmond@hydrauvision.com;;
00001191;REMERIJ AANDRIJFTECHNIEK;TOTAL EQUIPMENT CARE;REMERIJ ;OOSTERBRACHT 14;7821 CJ ;EMMEN   ;NL      ;JOZE VOS;0591-631828;;j.vos@remerij.nl                                            ;;J.vos@remerij.nl;;
00001192;HET ZUIDEN INDUSTRIAL;;ZUIDEN  ;ZUIDDIJK 1;5705 CS ;HELMOND ;NL      ;Dhr. Stef van Gorp;0492-523718;;;;;;
00001193;VAN DIJK TRUCK BODIES & EQUIPM;;DIJK    ;DE STROET 4;6741 PT ;LUNTEREN GLD                  ;NL      ;Tom Eltink;0318-483741;06-20617037 fabi;m.eltink@vandijklunteren.nl                                 ;;m.folmer@vandijkcarrosserie.nl;;M171018 
00001194;TAL TECHNIEK;;TAL TECH;RISSEWEG 21;6004 RM ;WEERT   ;NL      ;;0495-538087;;magazijn@taltechniek.nl                                     ;;Peter@taltechniek.nl;;
00001195;BROENS MACHINES;NIET MEER LEVEREN;BROENS M;BANMOLEN 23;5768 ET ;MEIJEL  ;NL      ;BETAALD NIET;077-4660015;06-29030330;broensmachines@worldmail.nl                                 ;;;;M290516 
00001196;CATALINA USA PARTS;;CATALIN ;TOLHUISWEG 14;6071 RG ;SWALMEN ;NL      ;;0478-515000;;info@catalina.nl                                            ;;;;
00001197;MAMMOET EUROPE B.V.;;MAMMOET ;KAREL DOORMANWEG 47, HAVEN 580;3115 JD ;SCHIEDAM;NL      ;T.a.v. E. Feenstra;010-2042759;;edwin.feenstra@mammoet.com                                  ;;;;
00001198;GERLASCO BV;;GERLASCO;TINNEGIETER 3;4174 LG ;HELLOUW ;NL      ;DHR Gerko. OUDSHOORN;0418-584163;;info@gerlasco.nl                                            ;;Factuur@gerlasco.nl;;
00001199;FLINGK MACHINEBOUW B.V.;INDUSTRIE TERREIN RETSEL;FLINGK M;DE MORGENSTOND 6;5473 HG ;HEESWIJK - DINTHER;NL      ;N.C.W. VAN DEN BERSELAAR;085-0685613;06-21903608;inkoop@flingk.nl                                            ;;administratie@flingk.nl;;
00001200;WATERSPORT GIETHOORN;;WATERSPO;NERING 2;8355 DK ;GIETHOORN;NL      ;;06-30230265;;;;;;
00001201;HYDROTON B.V.;;HYDROTON;DAMZIGT 23;3454 PS ;DE MEERN;NL      ;;030-2425080;;info@hydroton.nl                                            ;;Invoice@hydroton.nl;;
00001202;MEULENBROEK;MACHINEBOUW BV;MEULENBR;DE GIEM 7;7547 SW ;ENSCHEDE;NL      ;MARC ELSHOFF;053-4305499;;marc.elshoff@meulenbroek.nl                                 ;;;;
00001203;TECH VRACHT CV;;TECH VRA;;7420 AA ;DEVENTER;NL      ;;;06-51424701;info@techvracht.nl                                          ;;;;
00001204;OVER B.V.;;OVER    ;BARNFLAIR OOST 70;9561 PD ;TER APEL;NL      ;;0599-581321;;info@overbv.nl                                              ;;;;
00001205;ROTAQ BV;;ROTAQ   ;DIDAMSEWEG 31;7037 DJ ;BEEK GEM. MONTFERLAND;NL      ;BEN GERRITSEN;0316-531558;;ben.gerritsen@gertec.nl                                     ;;administratie@rotaQ.nl
;;
00001206;VB PARTS N.V.;;VB PARTS;ABRAHAM HANSSTRAAT 7;8800    ;ROESELARE;BE      ;STIJN VANHOUTTE;0032-51240605;;info@vbparts.be                                             ;;invoice@vbparts.be;;
00001207;DAMEN DREDGING EQUIPMENT BV;;DAMEN DR;EDISONSTRAAT 32;3861 NE ;NIJKERK ;NL      ;t.a.v. R. Broenink;;;rene.broenink@damen.com                                     ;;;;
00001208;SCHOUTEN MACHINES BV;;SCHOUTEN;UDDELERVEEN 65;3888 ML ;UDDEL   ;NL      ;J. Bleijenberg;0577-408080;;j.bleijenberg@schoutenmachines.nl                           ;;;;
00001209;PIRTEK AMSTERDAM BV;;PIRTEC A;t.t. VASUMWEG 34-B;1033 SC ;AMSTERDAM;NL      ;PETER MARKS;020-4117559;06-25065804;peter@pirtekamsterdam.nl                                    ;;;;M010120 
00001210;ROELAMA V.O.F.;;ROELAMA ;ST. JANSTRAAT 4-6;5131 BS ;ALPHEN (N.BR.);NL      ;DHR. B. AERTS;013-5081422;;parts@roelama.nl                                            ;;administratie@roelama.nl;;
00001211;ANTON AMMERLAAN;;AMMERLAA;WOUDSEWEG 168;2636 AW ;SCHIPLUIDEN;NL      ;ANTON AMMERLAAN;;06-53437313;anton@antonammerlaan.nl                                     ;;;;
00001212;LMB GROENENDAAL BV;;GROENEND;ST. LAMBERTUSWEG 48;5291 AC ;GEMONDE ;NL      ;;073-5516839;06-51570720;lmbgroenendaal@home.nl                                      ;;;;
00001213;SIMPLUS BRANDBLUSAPPARATEN BV;;SIMPLUS ;WIELDRECHTSSEWEG 24;3316 BG ;DORDRECHT;NL      ;STEFAN DE JONG;078-6520750;;info@simplus.nl                                             ;;Y.beskers@itsme.eu;;
00001214;ID-TEC;;ID-TEC  ;ABC-WESTLAND 245;2685 DC ;POELDIJK;NL      ;FERRY VAN DER VALK;0174-289475;06-41312666;info@id-tec.nl                                              ;;lindavanleeuwen@id-tec.nl;;
00001215;PIRTEK BENELUX BV;;PIRTEK B;HONGKONGSTRAAT 29;3047 BR ;ROTTERDAM;NL      ;MARTIJN HUISMAN;010-2383222;;info@pirtek.nl                                              ;;crediteuren.benelux@pirtek.nl;;M010120 
00001216;SCHELLEVIS BETON BV;;SCHELLEV;LOSWAL 11;4271 BA ;DUSSE   ;NL      ;DHR. TIGGELAAR;0416-391147;;info@schellevis.nl                                          ;;Info@schellevis.nl;;
00001217;FLUICONNECTO B.V.;                        ;FLUICONN;V.D. GIESSENWEG 9;2921 LP ;KRIMPEN AD IJSSEL             ;NL      ;H. van den Broek;0180-511411;;info@fluiconnecto.nl                                        ;;invoice@fluiconnecto.nl;;
00001218;NOTENBOOM  TECHNIEK BV;;NOTENBOO;STEENPAD 23;4797 SG ;WILLEMSTAD;NL      ;;0168-462549;;info@notenboomtechniek.nl                                   ;;Administratie@notenboomtechniek.nl;;
00001219;HTS BEARINGS BV;;HTS BEAR;STUURBOORD 76;1435 PD ;RIJSENHOUT;NL      ;FERDINAND MEEUWIG;;06-50499043;ferdinand@htsbearings.com                                   ;;;;
00001220;GEOMIL EQUIPMENT B.V.;;GEOMIL E;WESTBAAN 240;2841 MC ;MOORDRECHT;NL      ;Dhr. L. Vinkesteijn;0172-427800;;info@geomil.com                                             ;;Finance@geomil.com;;
00001222;TERBERG BENSCHOP B.V.;;TERBERG ;ORANJE NASSAUSTRAAT 10;3405 XK ;BENSCHOP;NL      ;P.G. van der Poel;0348-459319;;confirmation@terbergbenschop.nl                             ;;invoice@terbergbenschop.nl;;
00001223;HOLMATRO RESQUE EQUIPMENT B.V.;;HOLMATRO;ZALMWEG 30;4941 VX ;RAAMSDONKSVEER;NL      ;Dhr. P. Binnekade;0162-589200;;purchasing.nl@holmatro.com                                  ;b.roodnat@holmatro.com;;;
00001224;Mosterd Naaldwijk BV;;MOSTERD ;SLOTENMAKERSTRAAT 35;2672  GC;NAALDWIJK;NL      ;G. van Antwerpen;0174-625467;;info@mosterdnaaldwijk.nl                                    ;;;;
00001225;BOS AGRA-SERVICE BV;;BOS AGR ;INDUSTRIEWEG 14A;9781 AC ;BEDUM   ;NL      ;;050-3012777;;info@bosagra-service.nl                                     ;;;;
00001226;D. STAM HANDELSONDERNEMING;\;STAM    ;WOGMEER 97;1643 NH ;SPIERDIJK;NL      ;;0229-561951;;dj.stam@filternet.nl                                        ;;;;
00001227;BUSSCHER-WEERSELO;;BUSSCHER;BORNSESTRAAT 14;7595 LG ;WEERSELO;NL      ;Dhr. T. Busscher;;;;;;;
00001228;HYCOM B.V.;;HYCOM B.;Antillen 43;7333 PE ;APELDOORN                     ;NL      ;Dhr. M. Jurrius;055-5415233;;info@hycom.nl                                               ;markjurrius@hycom.nl;Invoice@hycom.nl;;
00001229;KUIPERS SERVICE;VOOR HOUTBEWERKING;KUIPERS ;NIJVERHEIDSWEG 17 I;7671 DA ;VRIEZENVEEN;NL      ;M. Navers-Stuurman;0546-493193;;info@kuipersservice.nl                                      ;;Facturen@kuipersservice.nl;;
00001230;THOMAS JAGER;;JAGER   ;KAPELLENWEG 8/2;6065    ;THAUR   ;ATU     ;;0043-66488728266;;office@probonding.at                                        ;;;;01012021
00001231;FUNDEX EQUIPMENT BV;;FUNDEX  ;KLEVERSKERKSEWEG 83;4338 PM ;MIDDELBURG;NL      ;T.a.v. E.C.W. de Groene;0113-232900;;inkoop@fundexequipment.com                                  ;;invoices@fundexequipment.com;;
00001232;AKKERMANS TECHNIEK;T.a.v. Centrale Administratie;AKKERMAN;PR. REINIERSTRAAT 16;4651 RZ ;STEENBERGEN;NL      ;T.a.v. O. Willemse;0167-564052;;onno.willemse@techniek.nl                                   ;johan.vandenaarssen@techniek.nl;Inkoopfactuur@techniek.nl;;
00001233;VERBEEK BORNEBROEK BV;;VERBEEK ;MUNSTERSTRAAT 6;7575 ED ;OLDENZAAL;NL      ;T.a.v. C. Verbeek;0541-570470;;info@verbeekenbornebroek.nl                                 ;;;;
00001234;VISSER'S FABRIEK VOOR SPECIALE; TRANSPORTMIDDELEN;VISSER  ;DE MARNE 1;8701 PV ;BOLSWARD;NL      ;T.a.v. J .Visser;0515-573908;;inkoop@vissertransporteurs.nl                               ;;Administratie@vissertransporteurs.nl;;
00001235;SRN GROUP EBVBA;;SRN GROU;CONSERVENWEG 5 C;B-2940  ;STABROEK;BE      ;T.a.v. M. De Wispelaere;0032-493534045;0032474993697;mdewispelaere@srmgroup.be                                   ;;mdewispelaere@srngroup.be;;
00001236;BOUWMAN TECHNISCHE SERVICE;;BOUWMAN ;Weth.Timmermanstraat  8;7951 SH ;STAPHORST;NL      ;T.a.v. H. Bouwman;0522-701153;06-50407448;info@bouwmantechniek.nl                                     ;;Factuur@bouwmantechniek.nl;;
00001237;BRABO;ROLLS-ROYCE EN BENTLEY SPECIAL;BRABO   ;ARNOUDSTRAAT 17;2182 DZ ;HILLEGOM;NL      ;T.a.v. D. van der Prijt;0252-527875;;info@braboparts.com                                         ;;;;
00001238;VANDAELE KONSTRUKTIE;;VANDAELE;STATIONSSTRAAT 119;B - 8780;OOSTROZEBEKE;BE      ;T.a.v. H. Lagaeysse;0032-056664501;;purchases@vandaele.biz                                      ;;facturatie@vandaele.biz;Accounting@vandaele.biz;
00001239;STURRIS BV;LOON GROND EN BESTR BEDR;STURRIS ;BLAUWHAND 1             ;7245 PV ;LAREN (GLD);NL      ;;0573-401303    ;;info@sturrislaren.nl                                        ;;;;
00001240;REAL STONE B.V.;;REAL STO;RIGASTRAAT 14A;7418 EW ;DEVENTER;NL      ;CHRIS DE JONG;0570-516063;;info@realstone.nl                                           ;;;;
00001241;DE WAALPAAL B.V.;T.A.V. TECHNISCHE DIENST;WAALPAAL;CONTACT 18;1446 WD ;PURMEREND;NL      ;P. SMAN;0299-403451;06-46227513;petersman@dewaalpaal.nl                                     ;;Crediteuren@dewaalpaal.nl;;
00001242;TOYOTA MATERIAL HANDLING;NEDERLAND B.V.;TOYOTA M;FRANKENENG 55;6716 AA ;EDE     ;NL      ;H. VOOIS;088-8642754;;herman.voois@nl.toyota-industries.eu                        ;;;;
00001243;LOWLAND STEINWAY SRL;;LOWLAND ;COMUNA AXENTE SEVER, SAT AGARB;557026  ;SIBIU   ;RO      ;MIHAELA ACHIM;0040-0269855050;0040-0748159767;johannesheus@yahoo.com                                      ;;office@low-land.com;;
00001244;BVBA THIRY AGRI TECHNICS;;THIRY AG;WATERHOFSTRAAT 22;3350    ;LINTER  ;BE      ;T.a.v. Erica Thiry;0032-11780651;;garage.thiry@skynet.be                                      ;;;;
00001245;P EN P DE JONG;;JONG    ;DAMMEKADE 2;2771 ND ;BOSKOOP;NL      ;Dhr. P. de Jong;;06-10448878;penpdejong@kpnmail.nl                                       ;;;;
00001246;Apro Systems B.V. (EG Solution;;APRO SYS;Bud Abbottstraat 10;1325 CP ;ALMERE  ;NL      ;Mr. Ruy Hudson;036-8416493;06-42579797;hudson.ryu@egsolution.com                                   ;;;;
00001247;OILFIELD SUPPLY;;OILFIELD;PASTOOR KOOPMANSWEG 23A;1784 NX ;DEN HELDER;NL      ;R. Moermans;0223633060;;rm@oilfieldsupply.nl                                        ;;;;
00001248;DE BEEKHORST;;BEEKHORS;BIJSTERBOSCHWEG 8;8161 NE ;EPE     ;NL      ;;;;;;;;
00001249;H.J. HEIMENSEN TRANSPORT AB;;HEIMENSE;TÖTTJA 7;34196   ;LJUNBY  ;S       ;A. HEIMENSEN;0046706364555;;aheimensen@hotmail.com                                      ;;;;
00001250;INTER OCEAN SERVICES B.V.;;INTER OC;KOPERSLAGERIJ 19;4762 AR ;ZEVENBERGEN;NL      ;J. Verschuuren;0168-760004;;mail@iosbv.com                                              ;;;;
00001251;HANDELSONDERNEMING A. PATER;;PATER   ;ZEVENHUISTERWEG 28;9311 VC ;NIEUW-RODEN;NL      ;;050-5015959;06-57565011;info@patertechniek.nl                                       ;;;;
00001252;ROTAQ B.V.;;ROTAQ B.;DIDAMSWEG 31;7037 DJ ;BEEK GEM. MONTFERLAND;NL      ;;0316-532782;;info@rotaq.nl                                               ;;;;M191115 
00001253;BAVECK MACHINES;L.M.B. HAMSTRAAT B.V.;BAVECK M;HAMSTRAAT 5;5334 NT ;VELDDRIEL;NL      ;Dhr. A. Avezaat;0418-632696;;werkvoorbereiding@baveck.nl                                 ;;;;
00001254;DP HYDRAULIEK;;DP HYDRA;AASTRAAT 26;8331 PL ;STEENWIJK;NL      ;;;;;;;;
00001255;HYDRAULIC SUPPORT;;HYDRAUL ;STAFFANGERWEG 1C;9723 JC ;GRONINGEN;NL      ;;;06-22702541;sabconsultancy6@gmail.com                                   ;;;;
00001256;MRO Europe Sourcing & Supply B;;MRO EURO;Parellaan 21;2132 WS ;HOOFDDORP;NL      ;Dhr. G. Izquier;023-5626470;;g.izquier@mro-europe.com                                    ;;Facturatie@mro-europe.com;;
00001257;FIRMA HISSINK & ZONEN;LANDBOUW MECH.BEDRIJF   ;HISSINK ;BUURTWEG 42;6971 KM ;OEKEN (GEM.BRUMMEN            ;NL      ;DHR. MARTIN SCHAEPMAN;0575-476555    ;;info@hissink-oeken.nl                                       ;;hissink-facturen@hissink-oeken.nl;;
00001258;MACHINERY SERVICE & PARTS;;MSP     ;KADIJK 8;8531 XD ;LEMMER  ;NL      ;E. van Dijk;0514-533111;06-51480889;info@msp-nederland.nl                                       ;;;;M190715 
00001259;PARKER HANNIFIN EUROPE SARL;;PARKER H;EDISONSTRAAT 1;7575 AT ;OLDENZAAL                     ;NL      ;T.a.v. Dhr. E. van 't Spijker;0541-585000;0541-585409;eric.vantspijker@parker.com                                 ;;Nlap@parker.com;;
00001260;MECH. NANNE KOOIMAN;;KOOIMAN ;HANDELSWEG 10;1619 BJ ;ANDIJK  ;NL      ;W. Kooiman;0228-592887;;wim@nannekooiman.nl                                         ;;Administratie@nannekooiman.nl;;
00001261;ALFAGOMMA GERMANY GMBH;;ALFAGOMM;FRIEDRICH DER GROSSE 10;44628   ;HERNE   ;DE      ;Zu A. Schmidt;0049-232314730;;info.germany@alfagomma.com                                  ;anna.schmidt@alfagomma.com;;;M151015 
00001262;BROSHUIS BV;;BROSHUIS;INDUSTRIEWEG 22;8263 AD ;KAMPEN  ;NL      ;T.a.v. Dhr. M. Huis in 't Veld;038-3372800;;orderbevestiging@broshuis.nl                                ;;Crediteuren@broshuis.com;;
00001263;POOS SERVICE BV;;POOS SER;GRAAFSCHAP HORNELAAN 159;6001 AC ;WEERT   ;NL      ;T.a.v. L. Poos;0495-451533;06-50588712;info@poos-service.nl                                        ;;;;
00001264;DUNNINK STAPHORST MACHINEBOUW; - KONSTRUKTIEWERKEN B.V.;DUNNINK ;WETH. KUIJERSSTRAAT 6;7951 SL ;STAPHORST;NL      ;T.a.v. R. Dunnink;0522-461225;;info@dunninkstaphorst.nl                                    ;;;;
00001265;WOLTMAN B.V.;PILING EQUIPMENT;WOLTMAN ;AMBACHTSWEG 16;3381 LN ;GIESSENBURG;NL      ;T.a.v. J. van der Burgh;0184-652044;;info@woltmanbv.nl                                           ;;Facturen@woltmanbv.com;;
00001266;G TEN KATE HOLDING BV;;KATE    ;ROLLECATE 55;7711 GG ;NIEUW-LEUSEN;NL      ;;0529-488810;;info@tenkatemotoren.nl                                      ;;;;
00001267;DE VOR BRANDES @ CO B.V.;;DE VOR B;WEERDENBURGSELAAN 2;3985 SE ;WERKHOVEN;NL      ;T.a.v. M. van Rooijen;0343-551641;;mvr@vorbrandes.nl                                           ;;;;
00001268;V & G HYDRAULIC COMPONENTEN BV;;V & G HY;HENDOWEG 7;9101 PC ;DOKKUM  ;NL      ;T.A.V. SIEBE;0519-222293;;sales@veng.nl                                               ;;Administratie@veng.nl;;
00001269;DAMEN HYDRAULIEK ELSLOO B.V.;;DAMEN HY;BUSINESS PARK STEIN 410;6181 MD ;ELSLOO  ;NL      ;T.a.v. R. Bouwens;046-4434300;;elsloo@damenhydrauliek.nl                                   ;;;;
00001270;SCHUITEMAKER INDUSTRIAL BV;;SRSCHUIT;MORSWEG 18;7461 AG ;RIJSSEN ;NL      ;Dhr. M. Boers;0548-514125;;info@sr-schuitemaker.nl                                     ;;;;M170919 
00001271;HYDRAULIEK SERVICE VENLO BV;;HYDRAULI;VOLTASTRAAT 5;5928 PC ;VENLO - NEDERLAND;NL      ;T.a.v. H. Crommentuijn;077-3969778;;info@hydrauliekservicevenlo.nl                              ;;H.crommentuijn@hydrauliekservicevenlo.nl;;
00001272;BORST REPARATIE & CONSTRUCTIE;;BORECO  ;STRIJKVIERTEL 65;3454 PK ;DE MEERN;NL      ;T.a.v. W. Borst;030-6665890;;info@boreco.nl                                              ;wim@boreco.nl;;;010120  
00001273;Carrosseriewerk van de Weijer;;WEIJER  ;De Stroet 4;6741 PT ;LUNTEREN GLD;NL      ;Bart van de Weijer;0318-483741;06-41851985 tom;lunteren@carrosseriewerk.nl                                 ;werkplaats@carrosseriewerk.nl;Administratie@carrosseriewerk.nl;;
00001274;CUYPERS VORKLIFTEN NV;;CUYPERS ;KETELHOF 8;B-2030  ;ANTWERPEN;BE      ;T.a.v. Filip Steyaert;;;filip@cuypers.be                                            ;;;;
00001275;ARTICOM NV;;ARTICOM ;MAANSTRAAT 4;B-2800  ;MECHELEN;BE      ;T.a.v. B. Deweerdt;;; bruno@articom.be                                           ;;;;
00001276;Mechatec Box Handling Systems;;MECHATEC;HET REVIER 1;8309 BE ;TOLLEBEEK;NL      ;T.a.v. J. Janssen;0527-760100;;magazijn@mechatec.nl                                        ;;factuur@mechatec.nl;;
00001277;MEMA SERVICE;;MEMA SER;NOORDSTRAAT 6;5428 NR ;VENHORST;NL      ;T.a.v. Maarten Melis;0492387343;0610559833;info@memaservice.nl                                         ;;Administratie@memaservice.nl;;
00001278;STEVEN VAN ROY;;ROY     ;HANNEKENSHOEK 18;2200    ;HERENTALS;BE      ;T.a.v. E. Vandeplas;;0032472043598;magazijn@stevenvanroy.be                                    ;;;;
00001281;S & K VEENSTRA;;VEENSTRA;Kaskinenweg 10;9723 JL ;GRONINGEN;NL      ;Dhr. S. Veenstra;050-5410227;06-44291398;info@senkveenstra.nl                                        ;;;;
00001282;SPEELZIEK B.V.;;SPEELZIE;HOMOETSTRAAT 13 B;6676 LA ;HOMOET  ;NL      ;G. SPEELZIEK;026-4722493;;info@speelziekbv.nl                                         ;;;;
